job_role,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,productivity_score
Writer,19,11.8,28.5,19.2,1.4,High,1.9,2.3,0.2,2,7.1,4.8,10,81
Designer,4,10.8,24.1,23.3,2.6,Low,8,9.8,1.82,3,3.4,5.5,6.78,59.2
Developer,6,25.9,69.4,10,1.4,Medium,6.8,8.9,5.52,5,4.6,3.8,9.66,62.4
Manager,20,7.9,17.2,25.1,0.2,High,3.5,8.6,1.14,5,5.6,3.9,10,76.8
Developer,15,8.6,20.6,20.1,1.4,Low,5.9,5.3,2.75,10,1,7.4,5.38,53.7
Analyst,4,16.1,34.9,22.1,1.4,Medium,1,4.6,3.27,5,6,4.7,9,54.3
Analyst,5,7.5,20.2,22.8,2,Medium,2.7,4.5,3.64,10,5.3,6.2,7.88,47.3
Designer,13,5.8,20.5,25.5,1,Medium,5.2,4,2.17,8,4,5.4,8.49,48.1
Manager,19,3.3,13.4,24.6,0.4,Low,10.9,10,0.58,10,6,6.3,6.18,73
Manager,1,5.5,13.1,25.5,1.4,Medium,13.1,11.4,3.06,3,2.5,3.5,9.9,31.3
Writer,8,17.9,55.4,10,4.9,Low,1.6,8.1,1.09,6,4.5,8.6,4.47,98.6
Developer,10,18.4,52.6,10,2,Medium,2.9,4.6,0.35,3,4.9,6.7,7.53,86.3
Analyst,3,11.4,25.7,20.3,0.9,Medium,7.4,3.8,1.83,9,5.4,4.7,9,58.3
Developer,6,17.7,34.3,14.1,1.4,Medium,8,8,5.18,8,3.6,4.6,9.09,51.5
Manager,19,1.7,0,32.7,1.2,Low,15.8,14.7,3.54,3,3.9,3.4,8.31,55.5
Developer,6,19.7,58.7,10.4,4.6,Medium,4.7,9.6,2.74,1,4.5,5.8,8.19,72.9
Marketer,8,5.5,8.6,37.5,0.9,Low,8.5,6.7,3.32,2,3.6,3.1,8.54,48.5
Analyst,7,15.8,37.3,10,2.5,Low,5.8,7.3,2.96,4,5.3,8.1,4.85,70.6
Writer,9,15.4,37.5,17.8,2,Medium,4.7,3.3,4.31,7,5.3,5,8.77,59.8
Designer,15,2.9,8,29.6,3.4,High,2.3,7.4,1.68,6,8,4.3,10,77
Analyst,2,7,17.2,29.8,2.2,Low,3.8,7.3,1.5,1,7.6,5.9,6.49,67
Writer,9,23.7,59.9,22.1,2.3,Medium,1.7,4.5,3.28,6,6,2.6,10,79.5
Developer,2,21.7,54.2,17.5,0.2,Medium,9.6,9.4,3.37,3,3.7,2.3,10,59.4
Analyst,17,9.5,29.7,16.6,1.9,Medium,2.7,4.9,3.57,1,4.7,7.3,7.08,76.9
Analyst,20,9.6,21.5,30.2,1.1,Medium,8.8,8.7,3.91,10,3.9,2.4,10,61.8
Analyst,10,15.9,35.3,22.7,4,High,4.2,10.5,0.1,4,4.6,2.3,10,70.2
Marketer,7,9.2,27.8,24.4,1.2,Low,11.6,11.5,2.43,7,4.4,4.7,7.36,67
Developer,20,20.3,46.6,13.3,4.7,Medium,1,6.1,0.1,8,5.8,5.8,8.18,94.6
